# index, _pos
167,"array([4883.43944979, 4729.71211464])"
168,"array([-3037.43920176, -2512.79208166])"
169,"array([3494.0208469 , 2876.13951142])"
170,"array([ 1034.70768705, -1700.06848018])"
171,"array([ 1899.6028571 , -3976.18471249])"
172,"array([-4763.38679922, -5227.98196461])"
173,"array([-819.54162979, 3179.51711976])"
174,"array([-2350.94936357,  2181.9822489 ])"
175,"array([-257.66020221, 4747.00556936])"
176,"array([-3209.02990648, -2348.12544196])"
177,"array([-6505.74986973,  -178.67749288])"
178,"array([ 97.5169051 , -58.65264577])"
179,"array([-372.47314032,  318.91971105])"
180,"array([-4111.79755677, -3218.37154353])"
181,"array([3400.31922475, 5893.38202425])"
182,"array([-2177.80850326,  4638.79192701])"
183,"array([-250.26859847,  159.96512996])"
184,"array([-5996.71844818, -2302.07125239])"
185,"array([ 498.0377472 , -332.23785969])"
186,"array([-3016.01408817, -4563.79223536])"
187,"array([5088.98143336, -339.67092088])"
188,"array([-1804.83972859, -2418.20754072])"
189,"array([-2880.06541779, -4102.14357061])"
190,"array([  572.7713013 , -2385.94400249])"
191,"array([1316.33145857, 3852.98933424])"
192,"array([-441.87313883, -170.02165705])"
193,"array([323.08820742, 422.99413459])"
194,"array([-2396.29826287, -5447.44097772])"
195,"array([ 37.83578208, 303.44376444])"
196,"array([-6034.94425569, -1132.8124754 ])"
197,"array([548.91404915,   6.90157792])"
198,"array([ 4248.68122644, -3171.00506888])"
199,"array([-121.44982254,  -59.91751291])"
200,"array([-507.04103731, -130.75460534])"
201,"array([5255.54491949, -448.09435805])"
202,"array([4648.55421839, 2627.77374773])"
203,"array([ 4747.35846537, -3620.58292618])"
204,"array([2083.56724497, 4568.46488544])"
205,"array([-86.64820378, 495.19405489])"
206,"array([-6348.93383039,   419.8915276 ])"
207,"array([2552.82991229, 2741.25150049])"
208,"array([-2877.07162811, -2499.02905347])"
209,"array([   21.33097883, -7094.57396613])"
210,"array([4902.6865454 , 1657.02288358])"
211,"array([ -98.27990735, 4789.73398575])"
212,"array([ 3875.40122364, -5372.99349656])"
213,"array([6217.38267604, 1068.91595411])"
214,"array([174.20140509, 482.89339126])"
215,"array([ 513.18888021, -338.85777396])"
216,"array([2413.40074257, 6549.5075269 ])"
217,"array([-5088.77976392, -4502.0827011 ])"
218,"array([1061.01368928, 2609.5885757 ])"
219,"array([-1002.69972879, -3340.46232366])"
220,"array([ 2954.12032175, -2142.68460927])"
221,"array([-4636.95007457,  6075.84627918])"
222,"array([-1110.07818404,  2522.04200993])"
223,"array([ 2073.9561069 , -5741.91276109])"
224,"array([ 1142.38895343, -3629.21218903])"
225,"array([1644.86428959, 3807.6020803 ])"
226,"array([4274.64151619,  477.07881502])"
227,"array([ 3654.98765982, -6093.67704978])"
228,"array([   25.75665682, -5413.54788995])"
229,"array([1874.56098292, 3810.90998531])"
230,"array([-2912.69626654,  1496.22611687])"
231,"array([ 119.04622487, -102.39894493])"
232,"array([-288.03062643,  355.65044648])"
233,"array([-3188.69066114, -4772.63448628])"
234,"array([3169.44452349, 1956.57545538])"
235,"array([-5527.63687851,  -847.90207731])"
236,"array([ 6296.63709684, -2594.55699458])"
237,"array([-6353.74111048,  -839.86718914])"
238,"array([-678.86522955,  533.34359133])"
239,"array([-3254.86684667,   686.00145647])"
240,"array([7076.31943978,  483.2922006 ])"
241,"array([-4399.85972763,   736.80568818])"
242,"array([4194.0677301 ,  176.60253522])"
243,"array([-1759.60645466, -4570.7475743 ])"
244,"array([ -74.28930485, -218.11364861])"
245,"array([-112.31797851,  312.60722659])"
246,"array([5299.31136097, 4437.89535638])"
247,"array([-5217.55950943, -2763.87360498])"
248,"array([3205.55632322, 3592.62270939])"
249,"array([6827.29477147, -330.72288486])"
250,"array([ 469.9495924 , 4471.06420203])"
251,"array([-4378.02314154, -5196.88299579])"
252,"array([533.95031378, 185.53746396])"
253,"array([-928.48335859,  261.50473707])"
254,"array([-5184.23094693, -4566.35964147])"
255,"array([2997.29900666, 1461.79072063])"
256,"array([ 3187.43326611, -3365.58524257])"
257,"array([-3509.49159122, -2879.37421076])"
258,"array([-1416.40154155, -4819.6404736 ])"
259,"array([6249.59159864, 2268.68645129])"
260,"array([ 97.69192384, 375.07125744])"
261,"array([ 1190.44627454, -6902.00047537])"
262,"array([-2654.08989515, -6494.2987454 ])"
263,"array([ 1853.40816016, -2016.46238528])"
264,"array([3529.74055058, 1495.49046123])"
265,"array([-5673.55201168,  2486.65081472])"
266,"array([-3313.13254363, -3440.95589557])"
267,"array([  -1.38692432, -724.63714772])"
268,"array([3428.8447219 , 2519.55879061])"
269,"array([-252.90519705, -242.30176693])"
270,"array([ 2234.90383669, -3393.97817871])"
271,"array([  502.65541821, -3102.85594297])"
272,"array([-575.07483517,  389.02711434])"
273,"array([ 1653.41372223, -4498.51796779])"
274,"array([  881.63511179, -3799.35953968])"
275,"array([-3215.39873198,  4771.12247613])"
276,"array([-1408.5718306 ,  3075.87892627])"
277,"array([3894.24731093, 5757.18537551])"
278,"array([2932.23196857,  189.63309317])"
279,"array([ 4733.19112946, -5162.07264717])"
280,"array([-4004.8444231 ,  2471.00512648])"
281,"array([-388.29230353,  233.0348666 ])"
282,"array([-2838.95735692,  3717.40463042])"
283,"array([-339.47700848, -103.9374538 ])"
284,"array([886.37951465, -12.02536497])"
285,"array([ 216.62845452, 5150.78070382])"
286,"array([2234.8287444 , 6569.00816998])"
287,"array([-6815.2615238 ,  1241.87238871])"
288,"array([-2678.35355097, -4443.31975266])"
289,"array([-2474.96892071,   226.77024542])"
290,"array([ 4989.4850426 , -2183.87198358])"
291,"array([ 5324.76930623, -4231.29192335])"
292,"array([-1764.64489844,  4267.19634459])"
293,"array([-325.65370824, -218.76507715])"
294,"array([ 4590.24413342, -2808.81270924])"
295,"array([-3177.9857008 ,   433.45779385])"
296,"array([-2802.58898008,  1143.49190795])"
297,"array([-739.28791175, 3223.23254003])"
298,"array([5249.86577619, 3750.71311796])"
299,"array([-516.45277968,   84.96541109])"
300,"array([ 136.41285868, 6995.94485281])"
301,"array([-3812.61275001,  2582.7776261 ])"
302,"array([ 177.77735159, -423.48097191])"
303,"array([-3393.13487429, -3473.61353811])"
304,"array([ 4653.56096014, -1275.58725484])"
305,"array([ 1981.11357646, -3677.67851832])"
306,"array([3750.30788885, 1569.13340601])"
307,"array([-2296.18073975,   -73.85751624])"
308,"array([2404.67049743, 2835.01405458])"
309,"array([2251.60964055, 2282.17948993])"
310,"array([5290.6350527 , 1751.00865214])"
311,"array([4161.33235006, 5036.63379278])"
312,"array([571.69230994,  80.82092399])"
313,"array([-2572.67426268, -3995.22878951])"
314,"array([-4032.5948271 , -5106.70039918])"
315,"array([-557.02448858,  888.00035529])"
316,"array([-5096.07020111,  4515.85077615])"
317,"array([4024.78948665,  186.0645597 ])"
318,"array([-1911.78221776, -4576.42303372])"
319,"array([-4127.10020832,  1008.33394392])"
320,"array([-240.45787463,  405.59169525])"
321,"array([  68.35830616, -383.5552485 ])"
322,"array([-2669.64603367, -4353.58513086])"
323,"array([ 2672.53124865, -3818.812494  ])"
324,"array([-5200.94775917,  -423.78596045])"
325,"array([2327.05897649, 4686.88927585])"
326,"array([-2745.40750636, -1880.61453458])"
327,"array([2220.72357227, 5603.37472108])"
328,"array([4507.54787969, 2911.79519178])"
329,"array([6040.74930679, 3786.4801383 ])"
330,"array([3402.34144686,  235.46118158])"
331,"array([ 2415.34061007, -4829.13147566])"
332,"array([-3303.91225667, -5605.37832461])"
333,"array([2208.17582934, 4186.21224392])"
334,"array([6164.17935282, 1321.50096483])"
335,"array([-6986.94101073, -1956.43389062])"
336,"array([2119.45959028, 2179.70456984])"
337,"array([-1922.92123189, -5250.89611088])"
338,"array([2551.44015484, 5709.71411224])"
339,"array([130.07462943,  96.7166779 ])"
340,"array([-6530.78173971, -1795.18048239])"
341,"array([5192.0644584 , 4690.37292579])"
342,"array([ 265.78061036, 3146.79445445])"
343,"array([-1963.50529665, -1294.7637959 ])"
344,"array([ 4937.24138982, -2115.34531323])"
345,"array([136.45617716, -28.41951552])"
346,"array([-3135.30554319,  4300.80878212])"
347,"array([ 315.18740098, 3459.72696968])"
348,"array([2104.95624726, 1078.85126273])"
349,"array([-2778.1692183 , -6839.94763806])"
350,"array([-2187.57502046,  -118.30382649])"
351,"array([ 511.10907114, -326.24595714])"
352,"array([-435.09864398,  191.52885035])"
353,"array([-1885.03537237, -1448.13585454])"
354,"array([-5340.29932932, -2173.67485234])"
355,"array([  929.51336091, -3515.36723449])"
356,"array([ 5567.53647558, -4504.61024907])"
357,"array([424.10793156, 160.4705427 ])"
358,"array([203.26558211, 204.65713756])"
359,"array([-3324.6397393 ,  -842.25953821])"
360,"array([ 4098.25134101, -1784.57678102])"
361,"array([ 3352.50938909, -6106.68380722])"
362,"array([1209.45007616, 5980.44228726])"
363,"array([2563.97710792, 5917.42979346])"
364,"array([203.46598674, 546.9671621 ])"
365,"array([ 40.16054011, -30.36526625])"
366,"array([ 2512.27388306, -6094.2434089 ])"
367,"array([ 5933.01702926, -3946.90513061])"
368,"array([-740.09241334, 4145.06913367])"
369,"array([ 314.60025001, -624.32618823])"
370,"array([-2753.75856952,  -922.17763273])"
371,"array([6333.31701756, 2591.42077541])"
372,"array([-6570.96056729,  2259.2834906 ])"
373,"array([ 1480.49293166, -1522.60505347])"
374,"array([ -40.2764483 , 5937.18398114])"
375,"array([524.3189147 , 364.80459621])"
376,"array([ -217.53930557, -2714.08185737])"
377,"array([-7028.45050978, -2555.79210879])"
378,"array([2753.05798066,  972.67127972])"
379,"array([289.3888073 , 170.70036458])"
380,"array([-778.22996815,  509.57781249])"
381,"array([  -77.56765946, -6538.54888152])"
382,"array([-1264.32020417,  5902.73757756])"
383,"array([ 2120.69705066, -6767.2363671 ])"
384,"array([-4211.06759102,  -159.1853411 ])"
385,"array([-311.38717409,  201.26397993])"
386,"array([-5048.31509523,  5382.19204453])"
387,"array([ 1569.88849779, -4453.13089588])"
388,"array([-2260.56212762,  4463.03946751])"
389,"array([-1603.78622322, -5024.646155  ])"
390,"array([-2053.15513487, -3321.61706666])"
391,"array([ -80.60062893, 3714.52331894])"
392,"array([456.35369276, -80.77865143])"
393,"array([  363.68730533, -5159.15770307])"
394,"array([-3780.43218607, -4397.79601366])"
395,"array([ -544.48677856, -2357.95356613])"
396,"array([137.57695727, 652.65968035])"
397,"array([ 5236.85974028, -2216.14449033])"
398,"array([-640.75919932, 5029.85382097])"
399,"array([ 1454.97693864, -4164.22277138])"
400,"array([-480.37461532,  455.55872514])"
401,"array([4592.30522696, 2691.97275606])"
402,"array([ 1771.17857908, -3214.65666366])"
403,"array([503.34346715,  35.84686459])"
404,"array([2478.85128172, 5941.37301276])"
405,"array([ 3746.97492309, -2257.62031707])"
406,"array([ 1683.62822916, -4046.9780737 ])"
407,"array([-3406.30788412,  5207.13773656])"
408,"array([526.101637  , 788.39843399])"
409,"array([-343.65428168,  -71.78292996])"
410,"array([ -648.79466452, -3200.95949942])"
411,"array([6171.4023788 , 1621.93371828])"
412,"array([ 1582.33556535, -4358.61084742])"
413,"array([5678.13364663,  165.98177332])"
414,"array([  9.35406412, 540.39826208])"
415,"array([ 1372.60245738, -5193.22233081])"
416,"array([ 2412.24395841, -1548.62442537])"
417,"array([2620.18719878, 3731.27489505])"
418,"array([ 4962.74348265, -4231.10104266])"
419,"array([ 4774.90274454, -5565.16212149])"
420,"array([-1697.80723358,  4768.37997228])"
421,"array([ 4198.80366309, -1776.24758846])"
422,"array([-1837.0090293 ,  4220.38580079])"
423,"array([ 202.14075366, 5614.86541289])"
424,"array([-3875.05774895,  -698.8640284 ])"
425,"array([-4975.60442593,  1924.63879856])"
426,"array([ -525.27142735, -5366.59242208])"
427,"array([-7104.8601747, -2433.7513256])"
428,"array([5014.72383214, -486.91122797])"
429,"array([4081.56389423, 1989.80624201])"
430,"array([-5095.51414219,  4259.20596006])"
431,"array([3865.54841483,  936.00613784])"
432,"array([-3267.7288011 , -3984.27489519])"
433,"array([-3143.56386362,  3708.55432835])"
434,"array([1889.75234639, 6656.84623705])"
435,"array([3831.2044117 , 2481.63145001])"
436,"array([ 6475.08961891, -1033.24847911])"
437,"array([1555.22191905, 6986.94467255])"
438,"array([1920.83163881, 4896.18856959])"
439,"array([ -352.33974892, -2028.18530115])"
440,"array([1232.73428139, 4338.20315154])"
441,"array([-3077.38735923,  -830.38013603])"
442,"array([ 2912.90650999, -3976.69052475])"
443,"array([-4019.73510686, -4530.21067228])"
444,"array([-3788.44775844,  6224.93668206])"
445,"array([-3494.78335776,  1339.09368782])"
446,"array([6563.43995014, 1247.6973438 ])"
447,"array([4934.53178345, 3389.13386763])"
448,"array([3309.84346071, 3053.86441726])"
449,"array([ -33.84370788, -452.55612454])"
450,"array([ 168.00202818, -294.60644685])"
451,"array([-6143.11272798,   559.95724718])"
452,"array([-3489.39070998,  6429.05253817])"
453,"array([-3025.07924688, -3760.18374198])"
454,"array([ 1938.53848219, -3905.65452409])"
455,"array([ 7094.25312343, -1255.65372248])"
456,"array([ 3768.45793005, -4495.32034591])"
457,"array([4410.86188519, 1045.23807112])"
458,"array([-310.12772365, 4272.38811318])"
459,"array([ 356.10832493, 3256.09202788])"
460,"array([1713.90967671, 7118.37457224])"
461,"array([  -6.19822845, 3660.800171  ])"
462,"array([3658.96910303, 4692.86704858])"
463,"array([ 5316.89537621, -1159.20028758])"
464,"array([  652.13348838, -2770.11697867])"
465,"array([ 750.46044738, 2776.17289276])"
466,"array([-3579.47926792, -1567.2638865 ])"
467,"array([-2267.23265414, -2299.75768616])"
468,"array([ 2610.33515968, -2634.49427921])"
469,"array([-4638.00497015, -5398.82640952])"
470,"array([-7012.04539624, -2706.76022666])"
471,"array([-6149.86773065,  2114.33947146])"
472,"array([-2865.72551333, -2262.58806811])"
473,"array([-846.25665038, 4073.11694693])"
474,"array([  999.31045247, -6050.12941443])"
475,"array([-3897.76780433,   515.38877631])"
476,"array([ 1393.45057079, -6912.8107747 ])"
477,"array([-1651.06537149,  3618.53568057])"
478,"array([-6884.08520042, -1454.33524898])"
479,"array([-3466.29361477,  5618.27214036])"
480,"array([3764.64094251, 1045.36099229])"
481,"array([ 3576.47177216, -3616.54305197])"
482,"array([509.17455959, 337.29545721])"
483,"array([-1251.25284842,  5338.28936737])"
484,"array([-712.06372297, 5085.18412885])"
485,"array([-4996.95415766,  5775.687533  ])"
486,"array([-5417.34957855, -4117.50284203])"
487,"array([3634.29075936, 4779.40418806])"
488,"array([ -409.21678606, -6883.47671194])"
489,"array([-2613.44863354,  -713.22893398])"
490,"array([-1248.40044425, -6784.89270878])"
491,"array([-398.64666365,    4.39871356])"
492,"array([-527.68134044, -115.90902049])"
493,"array([2630.0675763 ,  864.96177133])"
494,"array([ 1709.50811513, -2655.24583418])"
495,"array([491.75954424, 199.93780946])"
496,"array([-4945.08220058,  3221.26380475])"
497,"array([4132.19202708, 3372.75850449])"
498,"array([-2471.13343114,  2101.35459503])"
499,"array([-2830.29648434,  3128.04372555])"
500,"array([ -61.85662583, -516.36404803])"
501,"array([-4557.53003854, -5308.36177216])"
502,"array([2435.49135191, 3977.63296661])"
503,"array([3144.54054928, 5843.99336708])"
504,"array([ 4016.45039098, -3292.1212806 ])"
505,"array([ -839.88772595, -5076.07370758])"
506,"array([-4362.39458273, -3856.60578196])"
507,"array([ 1310.58618296, -2820.18997625])"
508,"array([  113.28111101, -5808.29577578])"
509,"array([-1533.23323542,  7158.80182258])"
510,"array([780.60092333, 146.25886251])"
511,"array([ 6500.6789766 , -1332.97653361])"
512,"array([3553.17784664, -323.95550436])"
513,"array([  101.01648314, -5361.57280913])"
514,"array([-2441.97293162,  3263.88817616])"
515,"array([5082.01341186,  297.26984011])"
516,"array([4368.09411863, 4179.72591374])"
517,"array([-3166.21874009,    -4.59704422])"
518,"array([-1571.60634445,  7521.15816624])"
519,"array([-5570.58493528, -2026.66935231])"
520,"array([ 2059.74607364, -4419.82305731])"
521,"array([ 670.18530149, 5640.32444531])"
522,"array([-2642.56727493,   168.5923414 ])"
523,"array([ 621.82141831, -109.80409775])"
524,"array([-2971.67942465, -5501.0219581 ])"
525,"array([-3663.19181545, -1003.21952691])"
526,"array([-4023.27997418, -3810.48191076])"
527,"array([-2104.78482839, -4051.1937914 ])"
528,"array([-3782.97288498,  5128.35997772])"
529,"array([  117.44844036, -3065.82180902])"
530,"array([-2901.71201162,  3764.23431578])"
531,"array([4245.8929913 , -366.53214095])"
532,"array([-6410.80170149,  3090.28268553])"
533,"array([4446.29050544,  -11.57664147])"
534,"array([-5599.71641403,  1372.72679294])"
535,"array([-2102.84928803,  5341.60285691])"
536,"array([ -264.71629388, -4515.95861436])"
537,"array([-6369.72369005,  1416.6989831 ])"
538,"array([5844.56423858, -904.68695803])"
539,"array([  789.36370801, -6517.24519014])"
540,"array([ 133.45883354, 2325.54611746])"
541,"array([-1301.18388066, -7223.24922975])"
542,"array([ 3669.86843514, -4684.76022497])"
543,"array([-358.43051878,  308.14308336])"
544,"array([-4424.01921221,  -251.6069651 ])"
545,"array([2982.25686922,  750.75940112])"
546,"array([473.93014778, 443.52826914])"
547,"array([-394.13480964,  325.69840645])"
548,"array([-1752.31800091, -1833.03071645])"
549,"array([-3837.47815169, -3660.6101067 ])"
550,"array([-2844.39446407,  5768.59978875])"
551,"array([ 3359.734745  , -5234.14809799])"
552,"array([ 2596.35778813, -5442.37031267])"
553,"array([-221.43928737, 6623.23205575])"
554,"array([-3371.48118134,  -769.9010467 ])"
555,"array([5501.92605458, 1165.6674734 ])"
556,"array([ 163.67795938, 5081.74467319])"
557,"array([ 4284.43745422, -4410.81601127])"
558,"array([-6114.15011498, -1370.62369206])"
559,"array([ 1301.42144701, -7388.65072579])"
560,"array([-2959.70480169, -4144.01672648])"
561,"array([ 4058.50396391, -2120.30578047])"
562,"array([5439.95063648, -598.04722226])"
563,"array([ 2527.17047036, -2083.63975991])"
564,"array([-5513.1560376 ,  2498.11019177])"
565,"array([-5505.27446999,  2593.13433062])"
566,"array([ 2067.89111005, -1646.54235889])"
567,"array([ 1051.71782292, -5984.68531516])"
568,"array([ 1491.99808881, -2532.07853282])"
569,"array([-5910.45034833, -3314.51204619])"
570,"array([239.75777766, -45.15783092])"
571,"array([ 1816.61650153, -3032.40327769])"
572,"array([ 3586.78680153, -5078.11133177])"
573,"array([-163.74829838,   13.65029348])"
574,"array([-33.34583834, 443.5807764 ])"
575,"array([-2482.04528828, -3868.11716126])"
576,"array([-6637.73867096,  -349.49610578])"
577,"array([5442.23854721, 2204.05928945])"
578,"array([-4180.67182131,  1311.82078816])"
579,"array([3134.50155564, 4467.89040142])"
580,"array([ 345.467087  , -394.33525124])"
581,"array([ 5617.16048278, -2798.67678826])"
582,"array([-2607.05598796, -2729.37315153])"
583,"array([-485.89256908, 2927.09918048])"
584,"array([-1200.32714948,  3344.36884924])"
585,"array([3314.59848591, 6458.87893037])"
586,"array([ 2719.22453352, -3055.84152266])"
587,"array([-2399.48815083, -5616.10199589])"
588,"array([-4497.69950583, -3581.54806439])"
589,"array([-7246.64100546,   712.4740416 ])"
590,"array([ 3934.69956899, -2480.96193209])"
591,"array([-354.09134598, 4745.36459331])"
592,"array([ 6115.42531463, -3739.35284317])"
593,"array([681.81089244, 206.79656616])"
594,"array([5035.9834745, -840.5199118])"
595,"array([2375.65792418, 3498.20377609])"
596,"array([-6594.3309287 ,  2494.47094359])"
597,"array([6922.07409507,  407.09962862])"
598,"array([ 5423.72453832, -2370.08785775])"
599,"array([-2844.38244371,  1451.38021687])"
600,"array([-4717.07440695, -3500.9386222 ])"
601,"array([-4435.50626368, -2102.71057674])"
602,"array([ 333.87292355, 4265.17124017])"
603,"array([-5163.03261658,  3481.64029165])"
604,"array([-3422.93963735, -1721.9432318 ])"
605,"array([ 6185.27827409, -2067.56081329])"
606,"array([-3649.45445175, -1200.53580909])"
607,"array([-2130.00542371,  5235.45249827])"
608,"array([-2718.45656405, -1485.51178801])"
609,"array([-1288.63614034, -3765.54107589])"
610,"array([-3272.97128359, -1767.98594871])"
611,"array([ 1674.42655777, -3758.15521269])"
612,"array([ 1306.74066059, -2145.19588285])"
