# index, _pos
185,"array([-4056.29098676, -6860.89715711])"
186,"array([-5842.78292803, -4175.29142087])"
187,"array([-5484.49001762,  5821.32133148])"
188,"array([-5811.97618115, -4044.37865896])"
189,"array([208.6287167 , 372.75588486])"
190,"array([758.4746608 , 765.96127038])"
191,"array([-805.27599934, 8672.87119147])"
192,"array([937.9298181 ,  58.55545253])"
193,"array([-6463.11413171, -5389.51594852])"
194,"array([-5387.07709457,  6829.47360017])"
195,"array([1057.2822265 ,  702.62112774])"
196,"array([  236.72469643, -8237.60279236])"
197,"array([ 5907.50442063, -8062.16730642])"
198,"array([ -362.58713201, -9683.58314692])"
199,"array([ 2636.46707937, -4936.52452083])"
200,"array([ 4715.65890107, -5124.51722871])"
201,"array([   718.06743641, -10305.88316936])"
202,"array([-2780.24478295, -5105.94387239])"
203,"array([-7104.43053062, -4336.7725324 ])"
204,"array([3759.95504882, 7528.51593707])"
205,"array([-2636.70678859,  5920.40887533])"
206,"array([-7359.21689615,   243.83405244])"
207,"array([-6079.2795225 , -6168.90634557])"
208,"array([ 7035.5253176, -5524.8020362])"
209,"array([-7114.36894179,  6289.93083523])"
210,"array([ 2796.71697037, -1210.01672809])"
211,"array([ 5762.66680685, -5616.44514378])"
212,"array([1842.33053768, 6499.65220318])"
213,"array([3815.97897605,  988.2297722 ])"
214,"array([ 4913.94829657, -4285.66670527])"
215,"array([891.28002309, 504.99986801])"
216,"array([450.1122519 , 861.03784769])"
217,"array([ 2316.54506714, -9333.51692169])"
218,"array([-2184.00514994,  3941.68545658])"
219,"array([ 8490.55964826, -1463.73414612])"
220,"array([-9850.89761078,  3733.22585071])"
221,"array([ 7659.05729965, -3591.38677408])"
222,"array([ 3572.42854359, -4262.34653414])"
223,"array([ 249.8011787 , 1085.27595642])"
224,"array([ 9738.5314288 , -1278.16237537])"
225,"array([ -166.24636361, -4547.12904362])"
226,"array([2462.73264513, 6108.59525272])"
227,"array([-2271.78695802, -4044.28001882])"
228,"array([-3680.52082105,   982.58812828])"
229,"array([ 1041.50349827, 11060.86791341])"
230,"array([550.23051331, 207.07809182])"
231,"array([-7948.00417219,  5482.3205782 ])"
232,"array([-2168.72028619, -6498.79685823])"
233,"array([438.51655884, 180.33881364])"
234,"array([-5773.25108972,  4170.03754109])"
235,"array([ 5856.13121408, -1698.00408657])"
236,"array([-4745.42439225,  -907.66895519])"
237,"array([-3690.33813932, -5238.66863907])"
238,"array([ 4583.70696071, -6233.36512021])"
239,"array([-2262.11300756, -3896.35169786])"
240,"array([ 251.39506091, 1020.25802668])"
241,"array([4490.2741507, 5982.5899053])"
242,"array([1386.20612963,  345.75026308])"
243,"array([ 281.05466033, 1098.28274934])"
244,"array([-1821.94615586,  4375.31055441])"
245,"array([ 811.56752806, 1033.78625883])"
246,"array([-3977.09748721, -5267.29512218])"
247,"array([9205.3929328 , 2740.93952997])"
248,"array([ 1848.43547025, -4118.06747322])"
249,"array([329.44669774, 477.31665203])"
250,"array([8660.12933177, 1055.80063814])"
251,"array([6658.28734996, -670.22357014])"
252,"array([ 3541.19187227, -4190.30223319])"
253,"array([6387.84536935, 2607.38170419])"
254,"array([ 2166.9028193 , -4874.46114084])"
255,"array([-3104.62753223, -9246.07094875])"
256,"array([ 3325.90154696, -1263.33334983])"
257,"array([1853.70825955, 7855.89217899])"
258,"array([-3691.96941754, -9453.8371312 ])"
259,"array([ 6198.24875793, -4735.90334684])"
260,"array([-5108.92155187, -8029.97433605])"
261,"array([-10218.53173494,  -2859.88970879])"
262,"array([ 8707.31233607, -6328.41691675])"
263,"array([-2980.97025535,  2823.62573292])"
264,"array([ 9187.80225967, -2936.74837968])"
265,"array([-5890.20211324,  6160.50932405])"
266,"array([ 8237.58738249, -6365.28972027])"
267,"array([-5934.67077307,   -43.70089949])"
268,"array([10958.12386174,  -824.80551992])"
269,"array([-3103.01848483, -2079.02853523])"
270,"array([ 5821.87984727, -8270.16016902])"
271,"array([-4935.25436283,  2098.6931851 ])"
272,"array([-4917.1845261 ,  -247.16377092])"
273,"array([181.92164134, 223.43852671])"
274,"array([-1132.78675197, -7552.43043993])"
275,"array([10398.03845823,   621.9641973 ])"
276,"array([ 4067.12009294, -8632.51271125])"
277,"array([ 3004.14925608, -9140.69080646])"
278,"array([  646.28247438, -1432.56756781])"
279,"array([-53.31680162, 780.39235261])"
280,"array([1486.76874485, 6418.45883184])"
281,"array([ 1500.4824473 , -2758.47935061])"
282,"array([ -393.4736974 , -4691.13850112])"
283,"array([-2440.43455838, -4669.17050771])"
284,"array([-6332.48617988,  -376.26116796])"
285,"array([-1548.80398399, -2892.30263331])"
286,"array([7372.81775062, 2735.74730288])"
287,"array([-5676.68528951,  1766.83801531])"
288,"array([ 3626.53860659, -3858.73030661])"
289,"array([-9642.48141119,  1210.81463372])"
290,"array([662.89025023, -86.0438868 ])"
291,"array([ -460.45103895, 10740.08039754])"
292,"array([10479.23435202,  3046.30251842])"
293,"array([-7812.19033715,  5177.83903213])"
294,"array([-8751.92157997,  3277.00797411])"
295,"array([ 5791.58669641, -3923.63702799])"
296,"array([ 912.85232812, -404.34642981])"
297,"array([ 1611.57256541, -4052.94312932])"
298,"array([-5328.64860544,  -397.68012494])"
299,"array([-5901.07406658,  5013.85159185])"
300,"array([1273.01950548, -865.99949624])"
301,"array([-2119.83137071,  8101.89900422])"
302,"array([741.86944748, 290.99928007])"
303,"array([730.82884895,  71.92068414])"
304,"array([-1995.07249818, -6805.20714719])"
305,"array([848.70964069, 167.39416366])"
306,"array([-5427.39998073,  9141.89858065])"
307,"array([ 1755.09291987, -7446.14653256])"
308,"array([ 4237.51000976, -5731.39149375])"
309,"array([-5663.33992566,  2883.67684855])"
310,"array([ -743.08127434, 11194.15549848])"
311,"array([-7581.588641  , -2484.23727636])"
312,"array([ 6846.17822256, -2804.00595275])"
313,"array([5619.25209994, -827.04352153])"
314,"array([5464.96571268, 3628.55831877])"
315,"array([-7932.46977837,   991.14981992])"
316,"array([-3248.20328886, -9493.49162449])"
317,"array([  100.18056886, -9819.15764993])"
318,"array([-6558.6395417 , -3512.66142567])"
319,"array([-6852.69642845, -7524.44452883])"
320,"array([-4169.26136966, -2739.31263516])"
321,"array([3147.35185713, 3690.74074427])"
322,"array([-1092.6571433 ,  4734.70358099])"
323,"array([3422.87441486, 7678.75127224])"
324,"array([2065.98208203, 5547.13543869])"
325,"array([-3050.71318535,  4127.74066687])"
326,"array([1288.60259537, 5778.74989633])"
327,"array([ 5018.71857121, -2729.66807634])"
328,"array([ -133.85229677, -5944.24010143])"
329,"array([-1785.56250824,  1870.72202694])"
330,"array([-1552.9734729 , 10563.68691486])"
331,"array([ 3403.14113996, -1257.19104205])"
332,"array([-7882.10727508, -6953.58096966])"
333,"array([-2258.07236649,  6725.59402682])"
334,"array([ 842.60697393, -194.51250847])"
335,"array([ -604.2829183 , -4603.25944218])"
336,"array([4532.50405716, -630.2086125 ])"
337,"array([-1103.8295944 , -8101.25283684])"
338,"array([-24.73457371, -32.49512539])"
339,"array([  -73.85965147, -5906.30181997])"
340,"array([-3457.95879238, -1562.64859798])"
341,"array([ 806.92567373, 3118.00087016])"
342,"array([-2564.77204876,  3845.24947717])"
343,"array([-5370.29942864, -2152.13790877])"
344,"array([ -474.22894259, -8647.18057456])"
345,"array([-845.56714778, 9631.04363552])"
346,"array([-592.90757044, 9065.32813677])"
347,"array([ 547.95630823, 4841.8234699 ])"
348,"array([-3061.76243378, -5188.07324543])"
349,"array([-2861.47046229,  9145.22201436])"
350,"array([ 3315.72677216, -5900.35036782])"
351,"array([-2263.2429115 ,  5631.45154211])"
352,"array([ 499.51344467, -762.1429365 ])"
353,"array([-4679.4696786 , -2745.67209563])"
354,"array([ 867.5482545 , -554.19754686])"
355,"array([ 1885.28891262, -4689.48827495])"
356,"array([-632.21907255, -243.54717864])"
357,"array([6466.528073  , 7198.21478326])"
358,"array([3328.29141803, 6769.51675604])"
359,"array([-3533.53326112,  6301.55233991])"
360,"array([574.23491792, 510.94255009])"
361,"array([1241.85872616, -430.40756675])"
362,"array([ -46.53359028, -901.2066734 ])"
363,"array([ 751.8814756 , 1041.12733222])"
364,"array([-6600.04869045, -8447.60018394])"
365,"array([ 1622.5249602 , -5386.71567346])"
366,"array([-3001.13080597, -3853.24288008])"
367,"array([ 4518.52782928, -4240.77310411])"
368,"array([1094.08383169, 3928.11000818])"
369,"array([178.26542837, 978.54689285])"
370,"array([1342.45343488,  457.07577341])"
371,"array([ 4798.40033613, -8569.13306306])"
372,"array([ 2325.19667487, -8990.24587211])"
373,"array([ 4999.50664681, -4112.67265903])"
374,"array([1000.35168973, -877.46029839])"
375,"array([-8968.7285036 , -5090.92471337])"
376,"array([-7527.54318594,  1372.29593481])"
377,"array([1336.686655  ,  567.30405513])"
378,"array([-8278.30653475, -6297.7796939 ])"
379,"array([-8385.71161873,  3773.07775141])"
380,"array([-5706.43144085, -1057.28994759])"
381,"array([-6960.03462471,  5770.33086237])"
382,"array([ 6084.76998349, -8328.69416791])"
383,"array([-233.52137025, -325.80874377])"
384,"array([-1477.4915643,  5765.9745965])"
385,"array([3910.94864281, -212.87482843])"
386,"array([-2041.00767387, -2472.6373417 ])"
387,"array([ 8733.01452434, -6428.21761117])"
388,"array([881.76915494, 214.38301883])"
389,"array([-4301.02968069, -2488.44999657])"
390,"array([-2932.25839966,   445.91989964])"
391,"array([ 6334.77448392, -2034.52646862])"
392,"array([ -829.5998085 , -6585.65072056])"
393,"array([-2250.75826312,  2015.27115499])"
394,"array([ 3050.93317435, -7519.88147688])"
395,"array([-5298.33040195,  -940.68699689])"
396,"array([-1134.94894511,  4883.7492362 ])"
397,"array([ 509.99460514, 7907.18937255])"
398,"array([2321.78885499, 4261.06935752])"
399,"array([ 9954.07563681, -1003.31711121])"
400,"array([4329.18907469,  422.63051503])"
401,"array([5981.31488692, 3925.55329322])"
402,"array([-6172.8352622 ,  4395.52353822])"
403,"array([-2084.58691217,  1454.60212623])"
404,"array([-9118.50323981, -4653.27792284])"
405,"array([ 835.13056105, 3413.53394585])"
406,"array([1547.19106417, 7778.81448416])"
407,"array([-3530.95369979, -3216.2971383 ])"
408,"array([ 4347.42118176, -2884.05538901])"
409,"array([-1948.40992531,  3810.65446262])"
410,"array([-5632.28515735,  4462.83408312])"
411,"array([-6654.96161816,  1200.5729286 ])"
412,"array([8595.66826117, -330.74966706])"
413,"array([-10123.4266743 ,   1504.46793642])"
414,"array([ 392.48685723, -506.73022885])"
415,"array([6888.41237249, 2022.11987968])"
416,"array([2144.47074369, -879.63568137])"
417,"array([-1454.48036536,  9284.92510714])"
418,"array([1676.19095516, 4939.62387233])"
419,"array([-8424.49266317,  4287.02399813])"
420,"array([-4662.82268008,  7044.0286149 ])"
421,"array([ 4322.74188777, -6041.73161212])"
422,"array([-4781.72616955, -1204.43577333])"
423,"array([-1690.15456234,  9907.97121261])"
424,"array([ 2197.39920532, -2567.12631449])"
425,"array([-2537.85328771,  3633.79244923])"
426,"array([-10060.27286252,   2506.78422616])"
427,"array([6889.60726648, 5802.60912323])"
428,"array([7557.04953227, 1289.71628715])"
429,"array([6232.65264562, 4051.89543055])"
430,"array([-4685.07359089,  6361.44888624])"
431,"array([  105.15324677, -8062.91061961])"
432,"array([8078.42936812, 1094.5312843 ])"
433,"array([9893.23209013, 2496.53533712])"
434,"array([-6086.17809625,  4191.55439298])"
435,"array([3217.45095064, 3050.0655274 ])"
436,"array([7583.61757404,  160.33986786])"
437,"array([4259.13891172, 3303.14125889])"
438,"array([5658.86311148,  511.50722505])"
439,"array([ 4763.67282172, -1838.86707916])"
440,"array([-515.13222158,  269.30929325])"
441,"array([4493.99796122, 8452.5740357 ])"
442,"array([561.36618922, 398.73324638])"
443,"array([-418.60424843, -138.87886474])"
444,"array([-3631.96231137,  9487.46418839])"
445,"array([-5156.13006419, -3603.74787711])"
446,"array([-2784.24908794, -3081.86393991])"
447,"array([-9668.91669467, -1033.44215987])"
448,"array([ 6360.36107295, -2107.00052413])"
449,"array([ 557.01077329, 3722.47299565])"
450,"array([4783.76517297, 2082.16215471])"
451,"array([-4299.1834862 , 10053.35722408])"
452,"array([ 1739.10300454, 10811.80058027])"
453,"array([ 1669.42916401, -5644.0064975 ])"
454,"array([3649.8909273 , 3916.71790522])"
455,"array([ 6610.11592408, -2975.5338844 ])"
456,"array([-3934.67253069,  8396.24098079])"
457,"array([160.2057877 ,  97.45521699])"
458,"array([ 226.57147815, -614.48683701])"
459,"array([-5276.79079054,  1109.15261669])"
460,"array([9253.75341202, 2328.73310308])"
461,"array([-1511.998604  , -9989.37713242])"
462,"array([9456.59472937,  997.83620389])"
463,"array([-343.96059313, 4165.00977966])"
464,"array([ 833.7657463 , -457.22838545])"
465,"array([3323.41770976, 8949.61191689])"
466,"array([5561.82510058,  179.88937361])"
467,"array([-5187.51913632,  4209.0861827 ])"
468,"array([-9856.41630822, -2210.89758134])"
469,"array([6331.67753171, 2060.5645345 ])"
470,"array([7077.51701762, 1427.55706341])"
471,"array([ 9982.75866191, -5002.59592308])"
472,"array([ 2011.15067509, -9222.24850678])"
473,"array([-4129.32852013, -6974.93491599])"
474,"array([8900.20595931, 6194.56344518])"
475,"array([1324.48059167, 8308.68518351])"
476,"array([ 2823.87215268, -4416.1718027 ])"
477,"array([ 480.08763632, 1224.2263383 ])"
478,"array([ 534.28715103, 1368.36634459])"
479,"array([-7686.05132531,  1942.39038191])"
480,"array([789.3658169 ,  52.66932024])"
481,"array([ 8290.28753869, -2535.648844  ])"
482,"array([-341.06106104, 9291.62674637])"
483,"array([-3917.36380172,  3618.32052034])"
484,"array([4890.31670485, 2201.76659673])"
485,"array([4866.28973058, -247.14614977])"
486,"array([ -44.13240313, 1038.16437723])"
487,"array([241.8578123 , 427.86985036])"
488,"array([6995.49892246,  741.31230066])"
489,"array([1441.33147367, 3245.00554402])"
490,"array([-156.71397791, 3771.56377984])"
491,"array([ 9251.23787454, -6247.5043865 ])"
492,"array([3196.11843425, 7486.78731414])"
493,"array([ 9326.56448622, -6177.38997329])"
494,"array([-642.91711918, 8413.58996426])"
495,"array([542.36338753, 403.82252099])"
496,"array([ -413.33329785, -9622.08122914])"
497,"array([10373.52221097,  3269.05217295])"
498,"array([ 5881.17192749, -7401.06489057])"
499,"array([678.69477793, -36.10256254])"
500,"array([ 3230.96835416, -8536.26155574])"
501,"array([6684.74660817, 8514.80695173])"
502,"array([ 715.8281094 , 8473.75713553])"
503,"array([3306.04810628, 1073.93814351])"
504,"array([3198.83504325, 4403.01722641])"
505,"array([560.57291875, -80.59129536])"
506,"array([1844.32479773, 8772.63646184])"
507,"array([5766.88467989, 2762.87034861])"
508,"array([-3237.06228005,  4841.11083747])"
509,"array([ 1273.01537227, -4792.48283705])"
510,"array([ 1354.78326289, -7406.93148042])"
511,"array([ 1647.02174711, -5517.1441837 ])"
512,"array([ 3743.45780616, -5700.60560665])"
513,"array([4396.83298427, 6888.02503808])"
514,"array([ 5049.16485924, -8091.36375609])"
515,"array([ 751.59209696, -370.64887417])"
516,"array([-8596.59198214,  2920.54342743])"
517,"array([ -959.63544376, -7439.61795469])"
518,"array([-7433.3117335 ,  3626.90530009])"
519,"array([-6576.64665403,  7862.28717958])"
520,"array([ -218.52508406, -3989.82320186])"
521,"array([-2370.69872878, -8371.12619486])"
522,"array([-568.99085856, 5885.41901371])"
523,"array([-9034.71772922,   922.49022798])"
524,"array([8747.3099401 , 2856.71548526])"
525,"array([-6745.82644316,  1978.48651207])"
526,"array([6331.81323452, 7797.19538241])"
527,"array([-3754.93251601, -1738.89445228])"
528,"array([-5385.93807279,  3103.60723627])"
529,"array([4773.68448727, 4156.26390266])"
530,"array([-3951.21588028,    21.93450541])"
531,"array([   18.79948009, -3930.84481946])"
532,"array([ 1795.50733046, -5875.44440927])"
533,"array([5897.58418593, -928.84391624])"
534,"array([ 8154.91072339, -2449.57215761])"
535,"array([ 9946.3544085 , -1805.78540908])"
536,"array([4091.74066946, 7782.45212772])"
537,"array([-1100.23917866,  4324.49806448])"
538,"array([-6744.65326902, -2355.38859066])"
539,"array([7152.57451662, 5942.90904481])"
540,"array([  304.03524216, -9122.07014578])"
541,"array([3565.83687992,  131.85491434])"
542,"array([-1170.8194604 ,  8693.59739743])"
543,"array([-1105.74159737, -6796.48762344])"
544,"array([ 1469.90404554, -8274.36943773])"
545,"array([-5706.1093524 ,  2756.19574463])"
546,"array([ 590.3496747 , 7846.67868667])"
547,"array([-6308.51031705,    74.40148179])"
548,"array([-3178.2906213 , -2104.76772972])"
549,"array([ 5920.40357483, -3771.22934635])"
550,"array([5750.96500498, 8133.13341467])"
551,"array([ 2614.21606852, -1858.10498595])"
552,"array([ 1171.65213265, 10574.34969364])"
553,"array([1824.98225458, 4241.50806324])"
554,"array([195.99431979,  65.50798019])"
555,"array([  492.07440762, -1478.59482105])"
556,"array([2468.90895425, 7240.99774131])"
557,"array([ 4675.38174469, -9328.75519683])"
558,"array([  -652.33291866, -10528.11308277])"
559,"array([-5707.8404275 ,  5417.48547534])"
560,"array([-5508.86538106,  4945.97232927])"
561,"array([5905.81577375, 2793.03728364])"
562,"array([-2818.349472  ,  9834.25460541])"
563,"array([ 7236.58631924, -1928.73108023])"
564,"array([3798.48742368, 4502.24695866])"
565,"array([ 5089.72792011, -9557.86511207])"
566,"array([  574.17944799, -5341.54411569])"
567,"array([-9548.05011266, -1225.30876736])"
568,"array([ 4246.89000858, -9949.50976311])"
569,"array([3471.66018445, 7820.04612639])"
570,"array([-2933.21290075,  2253.20553943])"
571,"array([-4523.72216912,    32.60490009])"
572,"array([-1674.76688552, -2154.40983015])"
573,"array([-5047.3768132 ,  4754.90135991])"
574,"array([ 1702.10620359, -3156.60184183])"
575,"array([2000.13084538, -786.44066671])"
576,"array([ 5563.91128177, -7334.159401  ])"
577,"array([ 5517.40407243, -9473.72349651])"
578,"array([-7536.62100057, -4693.45202836])"
579,"array([-1984.40753809,  6849.07237091])"
580,"array([-4129.27815956,  8139.16857714])"
581,"array([ 4934.93327157, -2383.34676854])"
582,"array([ -368.42277517, -1367.25239104])"
583,"array([-3827.51603905, -1880.56791384])"
584,"array([-3013.95920112,  5759.77300085])"
585,"array([-4165.0888983,  9918.0801012])"
586,"array([-7204.80304327,  1734.7781147 ])"
587,"array([-1152.22277604, -6373.96039898])"
588,"array([-2487.52166548, -8483.87179158])"
589,"array([ 4847.02578904, -8341.64583666])"
590,"array([ 2619.6613238 , -7051.49813022])"
591,"array([1917.451779  , 3083.21762547])"
592,"array([-1444.96143839,  7722.83771303])"
593,"array([5892.90404916, 3845.85411804])"
594,"array([-4925.01518773,  7221.67923755])"
595,"array([6228.47816154, 8446.7479334 ])"
596,"array([-2282.51589463, -5437.5142586 ])"
597,"array([1923.0611797 , 3823.95552315])"
598,"array([-2881.90315588, -1168.18664885])"
599,"array([-2484.21270616, -4445.41815364])"
600,"array([ -2155.56651348, -10211.77948066])"
601,"array([  690.93759105, -2972.03489404])"
602,"array([-4619.53197498, -9078.00526084])"
603,"array([ 4473.01833751, -5179.03559686])"
604,"array([-6119.63871848,  7373.62481476])"
605,"array([1459.2825245 , 3716.14024363])"
606,"array([6071.82075116, 6698.81924685])"
607,"array([  963.05540303, -5440.59322388])"
608,"array([ -513.76623628, -9539.17690277])"
